Month YMonth FileLAC_2003 sumLAC_2003 meanLAC_2003 medianLAC_2003 stdLAC_2003 varLAC_2003 maxLAC_2003 minLAC_2003 totalpixLAC_2003 nanpixLAC_2003 statipixLAC_2003 percentLAC_2003 fileGAC_2003 sumGAC_2003 meanGAC_2003 medianGAC_2003 stdGAC_2003 varGAC_2003 maxGAC_2003 minGAC_2003 totalpixGAC_2003 nanpixGAC_2003 statipixGAC_2003 percentGAC_2003 sumDIFF_2003 meanDIFF_2003 medianDIFF_2003 stdDIFF_2003 varDIFF_2003 maxDIFF_2003 minDIFF_2003 totalpixDIFF_2003 nanpixDIFF_2003 statipixDIFF_2003 percentDIFF_2003 FileLAC_2004 sumLAC_2004 meanLAC_2004 medianLAC_2004 stdLAC_2004 varLAC_2004 maxLAC_2004 minLAC_2004 totalpixLAC_2004 nanpixLAC_2004 statipixLAC_2004 percentLAC_2004 fileGAC_2004 sumGAC_2004 meanGAC_2004 medianGAC_2004 stdGAC_2004 varGAC_2004 maxGAC_2004 minGAC_2004 totalpixGAC_2004 nanpixGAC_2004 statipixGAC_2004 percentGAC_2004 sumDIFF_2004 meanDIFF_2004 medianDIFF_2004 stdDIFF_2004 varDIFF_2004 maxDIFF_2004 minDIFF_2004 totalpixDIFF_2004 nanpixDIFF_2004 statipixDIFF_2004 percentDIFF_2004 FileLAC_2005 sumLAC_2005 meanLAC_2005 medianLAC_2005 stdLAC_2005 varLAC_2005 maxLAC_2005 minLAC_2005 totalpixLAC_2005 nanpixLAC_2005 statipixLAC_2005 percentLAC_2005 fileGAC_2005 sumGAC_2005 meanGAC_2005 medianGAC_2005 stdGAC_2005 varGAC_2005 maxGAC_2005 minGAC_2005 totalpixGAC_2005 nanpixGAC_2005 statipixGAC_2005 percentGAC_2005 sumDIFF_2005 meanDIFF_2005 medianDIFF_2005 stdDIFF_2005 varDIFF_2005 maxDIFF_2005 minDIFF_2005 totalpixDIFF_2005 nanpixDIFF_2005 statipixDIFF_2005 percentDIFF_2005 FileLAC_2006 sumLAC_2006 meanLAC_2006 medianLAC_2006 stdLAC_2006 varLAC_2006 maxLAC_2006 minLAC_2006 totalpixLAC_2006 nanpixLAC_2006 statipixLAC_2006 percentLAC_2006 fileGAC_2006 sumGAC_2006 meanGAC_2006 medianGAC_2006 stdGAC_2006 varGAC_2006 maxGAC_2006 minGAC_2006 totalpixGAC_2006 nanpixGAC_2006 statipixGAC_2006 percentGAC_2006 sumDIFF_2006 meanDIFF_2006 medianDIFF_2006 stdDIFF_2006 varDIFF_2006 maxDIFF_2006 minDIFF_2006 totalpixDIFF_2006 nanpixDIFF_2006 statipixDIFF_2006 percentDIFF_2006
Jan 03Jan S20030012003031.MON.chlor_a.csv 272064.272808 0.5727741252 0.4621169497 0.6081202039 0.3698101824 60.3289375305 0.0180891398 985680 510686 474994 100 S20030012003031.MON.chlor_a.csv 186318.7097 0.490979092 0.428804881 0.332174249 0.110339732 9.845061302 0.137289628 985680 606196 379484 100 85745.563108 0.0817950332 0.0333120687 0.2759459549 0.2594704504 50.4838762285 -0.1192004882 0 -95510 95510 0 S20040012004031.MON.chlor_a.csv 317532.916538 0.5709329363 0.4737286766 0.6283096396 0.3947730032 76.4833831787 0.001 985680 429515 556165 100 S20040012004031.MON.chlor_a.csv 240090.2409 0.530348244 0.474291166 0.34105384 0.116317722 17.9478569 0.134443015 985680 532977 452703 100 77442.675638 0.0405846923 -0.0005624894 0.2872557996 0.2784552812 58.5355262787 -0.133443015 0 -103462 103462 0 S20060012006031.MON.chlor_a.csv 310837.455854 0.609315555 0.4798269339 0.7488934108 0.5608413407 92.6855316162 0.0214473642 985680 475538 510142 100 S20060012006031.MON.chlor_a.csv 233282.2572 0.526529958 0.44730732 0.391457717 0.153239144 20.06673241 0.080289044 985680 542624 443056 100 77555.198654 0.082785597 0.0325196139 0.3574356938 0.4076021967 72.6187992062 -0.0588416798 0 -67086 67086 0 S20060012006031.MON.chlor_a.csv 310837.455854 0.609315555 0.4798269339 0.7488934108 0.5608413407 92.6855316162 0.0214473642 985680 475538 510142 100 S20060012006031.MON.chlor_a.csv 233282.2572 0.526529958 0.44730732 0.391457717 0.153239144 20.06673241 0.080289044 985680 542624 443056 100 77555.198654 0.082785597 0.0325196139 0.3574356938 0.4076021967 72.6187992062 -0.0588416798 0 -67086 67086 0
Feb 03Feb S20030322003059.MON.chlor_a.csv 339136.483116 0.5728337493 0.4659842551 0.6056698249 0.3668359367 42.3421418667 0.0319777131 985680 393647 592033 100 S20030322003059.MON.chlor_a.csv 285709.3137 0.511935785 0.43793944 0.446565283 0.199420552 20.0573597 0.112124309 985680 427584 558096 100 53427.169416 0.0608979643 0.0280448151 0.1591045419 0.1674153847 22.2847821667 -0.0801465959 0 -33937 33937 0 S20040322004060.MON.chlor_a.csv 392024.304022 0.6627865132 0.4922679748 0.7208077071 0.5195637506 43.1564064026 0.0506961383 985680 394201 591479 100 S20040322004060.MON.chlor_a.csv 332731.6796 0.598231689 0.474758431 0.533227218 0.284331266 27.93608665 0.125192002 985680 429488 556192 100 59292.624422 0.0645548242 0.0175095438 0.1875804891 0.2352324846 15.2203197526 -0.0744958637 0 -35287 35287 0 S20060322006059.MON.chlor_a.csv 318799.003109 0.566365131 0.4676794801 0.5643956804 0.3185424841 97.4656982422 0.0222747047 985680 422794 562886 100 S20060322006059.MON.chlor_a.csv 256247.1262 0.525645913 0.4552047 0.451482079 0.203836067 60.69631958 0.18708856 985680 498190 487490 100 62551.876909 0.040719218 0.0124747801 0.1129136014 0.1147064171 36.7693786622 -0.1648138553 0 -75396 75396 0 S20060322006059.MON.chlor_a.csv 318799.003109 0.566365131 0.4676794801 0.5643956804 0.3185424841 97.4656982422 0.0222747047 985680 422794 562886 100 S20060322006059.MON.chlor_a.csv 256247.1262 0.525645913 0.4552047 0.451482079 0.203836067 60.69631958 0.18708856 985680 498190 487490 100 62551.876909 0.040719218 0.0124747801 0.1129136014 0.1147064171 36.7693786622 -0.1648138553 0 -75396 75396 0
Mar 03Mar S20030602003090.MON.chlor_a.csv 535248.09292 0.9023884388 0.7585778201 0.7303772368 0.5334509081 64.4377593994 0.116979003 985680 392534 593146 100 S20030602003090.MON.chlor_a.csv 470579.2244 0.826820719 0.723615217 0.550501 0.303051351 18.24465164 0.179079637 985680 416537 569143 100 64668.86852 0.0755677198 0.0349626031 0.1798762368 0.2303995571 46.1931077594 -0.062100634 0 -24003 24003 0 S20040612004091.MON.chlor_a.csv 473722.382635 0.7963099203 0.6889781985 0.5939514781 0.3527783584 59.1282501221 0.1219012439 985680 390783 594897 100 S20040612004091.MON.chlor_a.csv 393407.7756 0.694673993 0.61818473 0.415000859 0.172225713 14.93787289 0.23388277 985680 419360 566320 100 80314.607035 0.1016359273 0.0707934685 0.1789506191 0.1805526454 44.1903772321 -0.1119815261 0 -28577 28577 0 S20060602006090.MON.chlor_a.csv 491650.998726 0.878600887 0.6433647275 1.1018188232 1.2140047191 97.7441101074 0.0897195712 985680 426096 559584 100 S20060602006090.MON.chlor_a.csv 408764.8346 0.726473483 0.592051804 0.78409101 0.614798711 18.19058609 0.231067434 985680 423010 562670 100 82886.164126 0.152127404 0.0513129235 0.3177278132 0.5992060081 79.5535240174 -0.1413478628 0 3086 -3086 0 S20060602006090.MON.chlor_a.csv 491650.998726 0.878600887 0.6433647275 1.1018188232 1.2140047191 97.7441101074 0.0897195712 985680 426096 559584 100 S20060602006090.MON.chlor_a.csv 408764.8346 0.726473483 0.592051804 0.78409101 0.614798711 18.19058609 0.231067434 985680 423010 562670 100 82886.164126 0.152127404 0.0513129235 0.3177278132 0.5992060081 79.5535240174 -0.1413478628 0 3086 -3086 0
Apr 03Apr S20030912003120.MON.chlor_a.csv 978632.699888 1.6502329572 1.3376885734 1.3025605045 1.696663868 79.2592163086 0.2144225836 985680 392653 593027 100 S20030912003120.MON.chlor_a.csv 982099.8089 1.744240434 1.327869371 1.738466619 3.022266186 46.17442918 0.310583003 985680 422627 563053 100 -3467.1090119999 -0.0940074768 0.0098192024 -0.4359061145 -1.325602318 33.0847871286 -0.0961604194 0 -29974 29974 0 S20040922004121.MON.chlor_a.csv 708896.459142 1.1883110429 1.0324507214 0.8174538242 0.6682307547 97.4702987671 0.1975554079 985680 389122 596558 100 S20040922004121.MON.chlor_a.csv 590954.8672 1.023213425 0.90027528 0.553624707 0.306500316 26.72142601 0.278717756 985680 408132 577548 100 117941.591942 0.1650976179 0.1321754414 0.2638291172 0.3617304387 70.7488727571 -0.0811623481 0 -19010 19010 0 S20060912006120.MON.chlor_a.csv 588633.392511 1.0402750449 0.9012385979 0.8053620542 0.6486080384 98.3231964111 0.1026322395 985680 419836 565844 100 S20060912006120.MON.chlor_a.csv 523176.5679 1.08312748 0.924405674 0.798802506 0.638085444 19.59503174 0.217262641 985680 502656 483024 100 65456.824611 -0.0428524351 -0.0231670761 0.0065595482 0.0105225944 78.7281646711 -0.1146304015 0 -82820 82820 0 S20060912006120.MON.chlor_a.csv 588633.392511 1.0402750449 0.9012385979 0.8053620542 0.6486080384 98.3231964111 0.1026322395 985680 419836 565844 100 S20060912006120.MON.chlor_a.csv 523176.5679 1.08312748 0.924405674 0.798802506 0.638085444 19.59503174 0.217262641 985680 502656 483024 100 65456.824611 -0.0428524351 -0.0231670761 0.0065595482 0.0105225944 78.7281646711 -0.1146304015 0 -82820 82820 0
May 03May S20031212003151.MON.chlor_a.csv 492078.071096 0.857618032 0.7565330863 0.7376704863 0.5441577464 85.0576248169 0.1003779694 985680 411907 573773 100 S20031212003151.MON.chlor_a.csv 443009.4716 0.816995865 0.759394765 0.400582222 0.160466117 9.047087669 0.182216555 985680 443438 542242 100 49068.599496 0.040622167 -0.0028616787 0.3370882643 0.3836916294 76.0105371479 -0.0818385856 0 -31531 31531 0 S20041222004152.MON.chlor_a.csv 598701.547316 1.0089920004 0.7369503612 1.1663888371 1.3604629194 89.2646102905 0.1306945235 985680 392314 593366 100 S20041222004152.MON.chlor_a.csv 458613.9915 0.79979699 0.613328144 0.801236228 0.641979494 34.46195602 0.138613418 985680 412267 573413 100 140087.555816 0.2091950104 0.1236222172 0.3651526091 0.7184834254 54.8026542705 -0.0079188945 0 -19953 19953 0 S20061212006151.MON.chlor_a.csv 549547.54698 0.9446504184 0.8061576486 0.8705108781 0.757789189 90.3890762329 0.118991971 985680 403933 581747 100 S20061212006151.MON.chlor_a.csv 462789.8504 0.879852031 0.785329998 0.564506702 0.318667817 41.21396592 0.144622624 985680 459694 525986 100 86757.69658 0.0647983874 0.0208276506 0.3060041761 0.439121372 49.1751103129 -0.025630653 0 -55761 55761 0 S20061212006151.MON.chlor_a.csv 549547.54698 0.9446504184 0.8061576486 0.8705108781 0.757789189 90.3890762329 0.118991971 985680 403933 581747 100 S20061212006151.MON.chlor_a.csv 462789.8504 0.879852031 0.785329998 0.564506702 0.318667817 41.21396592 0.144622624 985680 459694 525986 100 86757.69658 0.0647983874 0.0208276506 0.3060041761 0.439121372 49.1751103129 -0.025630653 0 -55761 55761 0
Jun 03Jun S20031522003181.MON.chlor_a.csv 222100.803013 0.3891535075 0.3297422398 0.5259769128 0.2766517128 93.276725769 0.0548414327 985680 414952 570728 100 S20031522003181.MON.chlor_a.csv 152936.4334 0.357268014 0.333365515 0.156452972 0.024477533 3.774416447 0.110452443 985680 557608 428072 100 69164.369613 0.0318854935 -0.0036232752 0.3695239408 0.2521741798 89.502309322 -0.0556110103 0 -142656 142656 0 S20041532004182.MON.chlor_a.csv 288533.562539 0.4863846063 0.3231203631 1.1999621964 1.4399092728 92.8808670044 0.1386259049 985680 392459 593221 100 S20041532004182.MON.chlor_a.csv 230249.6987 0.398813343 0.31381527 0.349658005 0.122260721 11.21027088 0.128735751 985680 408343 577337 100 58283.863839 0.0875712633 0.0093050931 0.8503041914 1.3176485518 81.6705961244 0.0098901539 0 -15884 15884 0 S20061522006181.MON.chlor_a.csv 251205.153504 0.4429215179 0.3469564319 0.5905388495 0.3487361328 99.7268753052 0.112300761 985680 418525 567155 100 S20061522006181.MON.chlor_a.csv 176409.6579 0.416588127 0.354508147 0.269941562 0.072868447 6.541187763 0.124053948 985680 562217 423463 100 74795.495604 0.0263333909 -0.0075517151 0.3205972875 0.2758676858 93.1856875422 -0.011753187 0 -143692 143692 0 S20061522006181.MON.chlor_a.csv 251205.153504 0.4429215179 0.3469564319 0.5905388495 0.3487361328 99.7268753052 0.112300761 985680 418525 567155 100 S20061522006181.MON.chlor_a.csv 176409.6579 0.416588127 0.354508147 0.269941562 0.072868447 6.541187763 0.124053948 985680 562217 423463 100 74795.495604 0.0263333909 -0.0075517151 0.3205972875 0.2758676858 93.1856875422 -0.011753187 0 -143692 143692 0
Jul 03Jul S20031822003212.MON.chlor_a.csv 215035.243516 0.4116941088 0.2906671173 0.8879359569 0.7884302636 99.5339050293 0.0645734072 985680 463362 522318 100 S20031822003212.MON.chlor_a.csv 107515.9306 0.344977173 0.287366688 0.279665188 0.078212617 11.28640938 0.114869721 985680 674019 311661 100 107519.312916 0.0667169358 0.0033004293 0.6082707689 0.7102176466 88.2474956493 -0.0502963138 0 -210657 210657 0 S20041832004213.MON.chlor_a.csv 275038.418488 0.4641395439 0.288180536 1.4413461009 2.0774785827 98.2258682251 0.0726819932 985680 393103 592577 100 S20041832004213.MON.chlor_a.csv 208873.2061 0.370661306 0.282195181 0.440913159 0.194404413 26.07021523 0.112550009 985680 422165 563515 100 66165.212388 0.0934782379 0.005985355 1.0004329419 1.8830741697 72.1556529951 -0.0398680158 0 -29062 29062 0 S20061822006212.MON.chlor_a.csv 133265.148744 0.4385453098 0.3382704705 0.8641991372 0.7468401487 92.4248657227 0.001 985680 681800 303880 100 S20061822006212.MON.chlor_a.csv 230085.0259 0.523408235 0.371696055 0.656769319 0.431345939 18.67492294 0.113027319 985680 546090 439590 100 -96819.877156 -0.0848629252 -0.0334255845 0.2074298182 0.3154942097 73.7499427827 -0.112027319 0 135710 -135710 0 S20061822006212.MON.chlor_a.csv 133265.148744 0.4385453098 0.3382704705 0.8641991372 0.7468401487 92.4248657227 0.001 985680 681800 303880 100 S20061822006212.MON.chlor_a.csv 230085.0259 0.523408235 0.371696055 0.656769319 0.431345939 18.67492294 0.113027319 985680 546090 439590 100 -96819.877156 -0.0848629252 -0.0334255845 0.2074298182 0.3154942097 73.7499427827 -0.112027319 0 135710 -135710 0
Aug 03Aug S20032132003243.MON.chlor_a.csv 236350.77959 0.3994267263 0.2648979525 1.0363284373 1.0739766299 96.9158096313 0.0655615628 985680 393955 591725 100 S20032132003243.MON.chlor_a.csv 179303.3256 0.348003675 0.267105982 0.404241876 0.163411495 21.86490594 0.071765415 985680 470446 515234 100 57047.45399 0.0514230513 -0.0022080295 0.6320865613 0.9105651349 75.0509036913 -0.0062038522 0 -76491 76491 0 S20042142004244.MON.chlor_a.csv 261086.482998 0.4387757389 0.297026034 0.9470389141 0.8968827048 88.6967926025 0.1068416759 985680 390646 595034 100 S20042142004244.MON.chlor_a.csv 217352.9089 0.376227303 0.292726398 0.693696039 0.481214195 73.34391022 0.089605369 985680 407963 577717 100 43733.574098 0.0625484359 0.004299636 0.2533428751 0.4156685098 15.3528823825 0.0172363069 0 -17317 17317 0 S20062132006243.MON.chlor_a.csv 263407.12485 0.443736186 0.2830077901 1.017908395 1.0361375006 88.5700912476 0.0825699866 985680 392068 593612 100 S20062132006243.MON.chlor_a.csv 227041.4942 0.392619912 0.270925304 0.519628335 0.270013607 39.41339469 0.095707573 985680 407407 578273 100 36365.63065 0.051116274 0.0120824861 0.49828006 0.7661238936 49.1566965576 -0.0131375864 0 -15339 15339 0 S20062132006243.MON.chlor_a.csv 263407.12485 0.443736186 0.2830077901 1.017908395 1.0361375006 88.5700912476 0.0825699866 985680 392068 593612 100 S20062132006243.MON.chlor_a.csv 227041.4942 0.392619912 0.270925304 0.519628335 0.270013607 39.41339469 0.095707573 985680 407407 578273 100 36365.63065 0.051116274 0.0120824861 0.49828006 0.7661238936 49.1566965576 -0.0131375864 0 -15339 15339 0
Sep 03Sep S20032442003273.MON.chlor_a.csv 390179.891592 0.6545917593 0.4433286463 1.0239873429 1.0485500785 79.9346313477 0.1320169121 985680 389614 596066 100 S20032442003273.MON.chlor_a.csv 339032.2787 0.591208879 0.435584381 0.706085067 0.498556121 40.69525909 0.095680311 985680 412224 573456 100 51147.612892 0.0633828803 0.0077442653 0.3179022759 0.5499939575 39.2393722577 0.0363366011 0 -22610 22610 0 S20042452004274.MON.chlor_a.csv 300896.042496 0.5092889199 0.3655619356 0.9075839829 0.823708686 96.1776580811 0.001 985680 394864 590816 100 S20042452004274.MON.chlor_a.csv 252678.3035 0.454196789 0.356289975 0.928315912 0.861770432 85.634758 0.092304617 985680 429361 556319 100 48217.738996 0.0550921309 0.0092719606 -0.0207319291 -0.038061746 10.5429000811 -0.091304617 0 -34497 34497 0 S20062442006273.MON.chlor_a.csv 407720.867914 0.6826053663 0.4307887316 0.9688904855 0.9387487729 65.9273452759 0.0868443698 985680 388379 597301 100 S20062442006273.MON.chlor_a.csv 366416.7823 0.632703219 0.402286107 0.725432283 0.526251998 45.42617023 0.118584245 985680 406551 579129 100 41304.085614 0.0499021473 0.0285026246 0.2434582025 0.4124967749 20.5011750459 -0.0317398752 0 -18172 18172 0 S20062442006273.MON.chlor_a.csv 407720.867914 0.6826053663 0.4307887316 0.9688904855 0.9387487729 65.9273452759 0.0868443698 985680 388379 597301 100 S20062442006273.MON.chlor_a.csv 366416.7823 0.632703219 0.402286107 0.725432283 0.526251998 45.42617023 0.118584245 985680 406551 579129 100 41304.085614 0.0499021473 0.0285026246 0.2434582025 0.4124967749 20.5011750459 -0.0317398752 0 -18172 18172 0
Oct 03Oct S20032742003304.MON.chlor_a.csv 459127.792764 0.7678518388 0.5498346495 0.8692636109 0.7556192252 90.6375274658 0.1502837241 985680 387742 597938 100 S20032742003304.MON.chlor_a.csv 397119.4378 0.6821471 0.527064924 0.745360599 0.555562423 62.19617081 0.207579985 985680 403519 582161 100 62008.354964 0.0857047388 0.0227697255 0.1239030119 0.2000568022 28.4413566558 -0.0572962609 0 -15777 15777 0 S20042752004305.MON.chlor_a.csv 428337.039207 0.7163329853 0.5793384332 0.8544089408 0.7300146382 93.7814483643 0.1219023168 985680 387722 597958 100 S20042752004305.MON.chlor_a.csv 361355.6651 0.667517018 0.581031392 0.474106723 0.224777185 19.19954109 0.149812266 985680 444337 541343 100 66981.374107 0.0488159673 -0.0016929588 0.3803022178 0.5052374532 74.5819072743 -0.0279099492 0 -56615 56615 0 S20062742006304.MON.chlor_a.csv 391721.87362 0.6565398471 0.5172686825 0.7151371303 0.5114211151 85.0446472168 0.0877532214 985680 389034 596646 100 S20062742006304.MON.chlor_a.csv 333758.7129 0.577260446 0.488585509 0.385375035 0.148513917 12.12176132 0.099535681 985680 407503 578177 100 57963.16072 0.0792794011 0.0286831735 0.3297620953 0.3629071981 72.9228858968 -0.0117824596 0 -18469 18469 0 S20062742006304.MON.chlor_a.csv 391721.87362 0.6565398471 0.5172686825 0.7151371303 0.5114211151 85.0446472168 0.0877532214 985680 389034 596646 100 S20062742006304.MON.chlor_a.csv 333758.7129 0.577260446 0.488585509 0.385375035 0.148513917 12.12176132 0.099535681 985680 407503 578177 100 57963.16072 0.0792794011 0.0286831735 0.3297620953 0.3629071981 72.9228858968 -0.0117824596 0 -18469 18469 0
